,Company Name,Company Website,Description,Media Spend (M)
619,"Deuter USA, Inc.",www.deuterusa.com,outdoor gear,Less than $750K
620,Diamond Pharmacy Services,www.diamondpharmacy.com,"pharmacy, medical services",Less than $750K
621,"Dierbergs Markets, Inc.",www.dierbergs.com,grocery stores,Less than $750K
622,"Discount Drug Mart, Inc.",www.discount-drugmart.com,drugstore chain,Less than $750K
623,Disney Store of North America,www.disneystore.com,"character-based merchandise, retail stores",Less than $750K
624,Do It Best Corp.,www.doitbestcorp.com,hardware & building products,Less than $750K
625,"Donna Karan International, Inc.",www.donnakaran.com,women's fashion,Less than $750K
627,"Drs. Foster & Smith, Inc.",www.drsfostersmith.com,pet supplies,Less than $750K
628,"DSW, Inc.",www.dswshoe.com,discount shoe retailer,Less than $750K
629,"Duane Reade, Inc.",www.duanereade.com,drug store chain,Less than $750K
631,"E-Z Mart Stores, Inc.",www.ezmart.com,convenience stores,Less than $750K
632,"Earth Fare, Inc.",www.earthfare.com,grocery chain,Less than $750K
634,eCampus.com,www.ecampus.com,general info site,Less than $750K
635,"Electric Visual Evolution, LLC",www.electricvisual.com,sunglasses & eyewear accessories,Less than $750K
636,Elie Tahari,www.elietahari.com,apparel,Less than $750K
638,"Emerging Vision, Inc.",www.emergingvision.com,optical & vision care centers,Less than $750K
640,Entertainment Earth Inc.,www.entertainmentearth.com,action figure & collectible retailer,Less than $750K
641,Ergobaby,http://store.ergobaby.com,infant carrying products,Less than $750K
642,"ESCADA USA, Inc.",www.escada.com,upscale fashions,Less than $750K
644,ExOfficio,www.exofficio.com,outdoor & travel clothing company,Less than $750K
645,"Fairway & Greene, Ltd.",www.fairwayandgreene.com,golf apparel,Less than $750K
646,"Family Christian Stores, Inc.",www.familychristian.com,"christian books, gifts",Less than $750K
647,FB Legacy,www.fblegacy.com/,"clothing, sportswear",Less than $750K
650,Five Below,www.fivebelow.com/,vaule retailer,Less than $750K
651,"Flying J, Inc.",www.flyingj.com,truck stops,Less than $750K
652,Flynn & O'Hara,www.roseuniforms.com,school uniforms,Less than $750K
653,Follett Higher Education Group,www.fheg.follett.com,bookstores,Less than $750K
655,"Fox Racing, Inc.",www.foxracing.com,apparel & accessories,Less than $750K
656,"Franchise Concepts, Inc.",www.deckthewalls.com,prints & frames,Less than $750K
657,Franklin Covey Co.,www.franklincovey.com,planners & organizers,Less than $750K
658,"Franklin Sports, Inc.",www.franklinsports.com,athletic equipment,Less than $750K
659,"Franks Supply Company, Inc.",www.franks-supply.com,equipment supply,Less than $750K
661,French Connection,www.fcuk.com/us,designer clothing,Less than $750K
662,"Fresh Concepts, LLC",www.freshcity.com,fast casual restaurant,Less than $750K
663,"Fresh Market, Inc.",www.thefreshmarket.net,specialty grocery stores,Less than $750K
667,"Gamer Doc, Inc.",www.gamerdoc.com,video game retailer,Less than $750K
668,"Garan, Inc.",www.garanimals.com/,clothing manufacturer,Less than $750K
669,Gate Petroleum Company,www.gatepetro.com,"gas stations, real estate",Less than $750K
674,"Global Franchise Group, LLC",www.globalfranchise.com,restaurant franchiser,Less than $750K
676,"Gordon Brothers Group, LLC",www.gordonbrothers.com,investment services,Less than $750K
677,Gordon Food Service,www.gfs.com,bulk foods,Less than $750K
678,Greg Norman Collection,www.shark.com/gregnormancollection,men's apparel,Less than $750K
680,Gymboree Corporation,www.gymboree.com,children's clothes,Less than $750K
682,"Haas Outdoors, Inc. / Mossy Oak Outdoor",www.mossyoak.com,hunting apparel & accessories,Less than $750K
684,Hamilton Collection,www.collectiblestoday.com,"dolls, plates, collectibles",Less than $750K
686,"Hampshire Designers, Inc.",www.hamp.com,sweaters,Less than $750K
688,Harbor Footwear Group,www.gbxshoe.com,shoes,Less than $750K
689,"Harps Food Stores, Inc.",www.harpsfood.com,"retail groceries, dry goods",Less than $750K
690,Harveys Supermarkets,www.harveys-supermarkets.com,local supermarket chain,Less than $750K
691,"Hastings Entertainment, Inc.",www.gohastings.com,multimedia superstores,Less than $750K
692,"Hat World, Inc. / Lids",www.hatworld.com,hats,Less than $750K
693,"Hatco, Inc.",www.resistolhat.com,hat manufacturing,Less than $750K
695,"Head USA, Inc.",www.head.com,athletic equipment & apparel,Less than $750K
696,"Healthy Fast Food, Inc.",www.u-swirl.com,quick serve restaurant,Less than $750K
697,"Heelys, Inc.",www.heelys.com,shoes with wheels,Less than $750K
700,"Hillerich & Bradsby Company, Inc.",www.slugger.com,baseball bats & golf clubs,Less than $750K
701,Holiday Companies,www.holidaystationstores.com,gas station & convenience stores,Less than $750K
702,"Hollywood Tans, LLC",www.hollywoodtans.com,tanning salons,Less than $750K
